taxon_code,Habitat
MYfosobs,Benthos
MYper,Benthos
MEvar,Benthos
MImac,Benthos
MIkra,Benthos
MIkue,Benthos
MInau,Benthos
NAweb.cf,Benthos
NAang,Benthos
NAcar,Benthos
SFarv.cf,Benthos
NAcry.cf,Benthos
NEelg.cf,Benthos
FAind,Benthos
NAmen,Benthos
NAcin,Benthos
NAcry,Benthos
NAcph,Benthos
NAcrt,Benthos
NAdfs,Benthos
SFdif,Benthos
NAelg.cf,Benthos
NAeri,Benthos
NAgre,Benthos
NAlep,Benthos
NAlon,Benthos
NAnot,Benthos
NArad,Benthos
NArfa,Benthos
NArcs,Benthos
NArei,Benthos
NArhy,Benthos
SFrot,Benthos
NAsch.sym,Benthos
NAsp,Benthos
NAsp10,Benthos
NAsp2,Benthos
NAsp3,Benthos
NAsp7,Benthos
NAsp8,Benthos
Navicula sp.11,Benthos
SFhar.aff,Benthos
NAspp.,Benthos
NAsub,Benthos
NAten,Benthos
NAven,Benthos
NAvil,Benthos
NAvir,Benthos
NArst,Benthos
NAwil,Benthos
NAvau,Benthos
NAsp.,Benthos
NEaff,Benthos
NEalp,Benthos
NEamp,Benthos
NEdub,Benthos
NEher,Benthos
NElon,Benthos
NEper,Benthos
NEsep,Benthos
NIabb,Benthos
NIaci,Benthos
NIpsf.aff,Benthos
NIarc.a,Benthos
NIpus.af,Benthos
NIsbt,Benthos
NIamp,Benthos
NIbre,Benthos
NAcap,Benthos
NAclau,Benthos
NIdis,Benthos
NIfilcnf,Benthos
NIfil,Benthos
NIfon,Benthos
NIfru,Benthos
NIgra,Benthos
NIinc.a,Benthos
NIintact,Benthos
NIlac,Benthos
NIlin,Benthos
NImic,Benthos
NInan,Benthos
NIpal,Benthos
NIpal.deb,Benthos
NIpal.ten,Benthos
NIplc,Benthos
NIplf,Benthos
NIper,Benthos
NIpfn,Benthos
NIsca,Benthos
NIsoc,Benthos
NIsor,Benthos
NIsp.,Benthos
NIsp1,Benthos
NIsba,Benthos
NIter,Benthos
NIumb,Benthos
NIval,Benthos
NUpen,Benthos
NUsp.,Benthos
NUvit,Benthos
NUimp,Benthos
NUsp_A,Benthos
ODhye,Benthos
ODmes,Benthos
ORros,Benthos
PBpro,Benthos
PIsp_3cl,Benthos
PIsp_4cl,Benthos
PIacr,Benthos
PIacu,Benthos
PIsubelo.aff,Benthos
PIapp,Benthos
Plbice,Benthos
PIbor,Benthos
PIbremin,Benthos
PIbre,Benthos
PIsubsbr.cf,Benthos
PIpul,Benthos
Pdig,Benthos
PIdig,Benthos
PIdub,Benthos
PIgib,Benthos
PIgru,Benthos
Plhem,Benthos
PIint,Benthos
PImai,Benthos
PImic,Benthos
PImicros,Benthos
PIneo,Benthos
PIobs,Benthos
PIpir,Benthos
PIpmi,Benthos
PIpsg,Benthos
PIrhe,Benthos
PIrup,Benthos
PIsap,Benthos
PIspt,Benthos
PIsch,Benthos
PIsim,Benthos
PIsin,Benthos
PIsp.,Benthos
PIsp1,Benthos
PIsto,Benthos
PIsub,Benthos
PIsubelo,Benthos
PIsgb,Benthos
